"No.","Time","Source","Destination","Protocol","Length","Info"
"2193","2022-12-11 20:38:10.966921288","172.17.0.1","172.17.0.2","HTTP","224","GET /antivirus HTTP/1.1 "
"2194","2022-12-11 20:38:10.974225736","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=419595 Ack=44829 Win=64128 Len=511 TSval=1630539326 TSecr=3075500841 [TCP segment of a reassembled PDU]"
"2195","2022-12-11 20:38:10.974335601","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44829 Ack=420106 Win=64128 Len=0 TSval=3075500849 TSecr=1630539326"
"2196","2022-12-11 20:38:10.975062962","172.17.0.2","172.17.0.1","TCP","1012","3000  >  58010 [PSH, ACK] Seq=420106 Ack=44829 Win=64128 Len=946 TSval=1630539327 TSecr=3075500849 [TCP segment of a reassembled PDU]"
"2197","2022-12-11 20:38:10.975255877","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44829 Ack=421052 Win=64128 Len=0 TSval=3075500850 TSecr=1630539327"
"2198","2022-12-11 20:38:10.975271816","172.17.0.2","172.17.0.1","HTTP","71","HTTP/1.1 200 OK  (text/html)"
"2199","2022-12-11 20:38:10.975358585","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44829 Ack=421057 Win=64128 Len=0 TSval=3075500850 TSecr=1630539327"
"2200","2022-12-11 20:38:10.976319940","172.17.0.1","172.17.0.2","HTTP","223","GET /anuncios HTTP/1.1 "
"2201","2022-12-11 20:38:10.986580216","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=421057 Ack=44986 Win=64128 Len=511 TSval=1630539338 TSecr=3075500851 [TCP segment of a reassembled PDU]"
"2202","2022-12-11 20:38:11.028356724","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44986 Ack=421568 Win=64128 Len=0 TSval=3075500903 TSecr=1630539338"
"2203","2022-12-11 20:38:11.028406083","172.17.0.2","172.17.0.1","HTTP","1017","HTTP/1.1 200 OK  (text/html)"
"2204","2022-12-11 20:38:11.029770529","172.17.0.1","172.17.0.2","HTTP","218","GET /any HTTP/1.1 "
"2205","2022-12-11 20:38:11.036387112","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=422519 Ack=45138 Win=64128 Len=511 TSval=1630539388 TSecr=3075500904 [TCP segment of a reassembled PDU]"
"2206","2022-12-11 20:38:11.036489428","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=45138 Ack=423030 Win=64128 Len=0 TSval=3075500911 TSecr=1630539388"
